IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.16.52.252,133,213,159,10
108.162.199.6,154,165,160,10
162.159.13.122,138,258,163,10
162.159.35.170,151,198,164,10
141.101.115.152,139,219,164,10
172.64.147.146,155,173,165,10
172.64.231.192,139,250,167,10
104.27.2.114,154,201,170,10
108.162.194.213,140,203,171,10
104.16.38.28,136,227,172,10
172.64.32.171,140,281,172,10
104.24.10.135,155,196,174,10
172.64.176.110,159,189,177,10
104.23.127.158,159,204,177,10
172.64.230.81,136,272,178,10
104.24.26.169,159,210,178,10
162.159.9.21,153,219,179,10
162.159.196.66,152,209,179,10
104.16.34.212,153,242,180,10
104.24.16.240,153,206,180,10
198.41.195.185,136,291,181,10
162.159.12.27,155,238,181,10
162.159.27.166,137,234,182,10
104.23.101.149,154,202,183,10
104.16.36.200,152,277,183,10
104.27.39.228,153,205,184,10
104.23.118.152,162,205,184,10
104.16.48.145,151,237,185,10
104.16.44.0,153,287,185,10
104.27.6.22,164,208,186,10
104.16.43.27,156,257,186,10
104.24.14.17,162,211,186,10
104.16.28.169,140,270,188,10
162.159.25.192,134,297,188,10
104.24.6.146,159,209,188,10
104.23.96.121,153,210,189,10
104.24.8.83,161,214,189,10
104.16.39.53,135,291,189,10
172.64.34.241,160,231,189,10
162.159.61.83,137,294,191,10
104.27.12.19,161,217,191,10
162.251.82.223,150,290,191,10
104.16.26.208,156,289,193,10
198.41.198.145,136,252,194,10
104.24.19.137,165,215,194,10
172.64.91.85,153,270,194,10
104.16.90.93,139,288,194,10
172.64.35.219,169,260,195,10
188.114.98.180,156,234,196,10
162.159.3.245,151,254,196,10
162.159.32.32,134,298,197,10
172.64.33.69,154,295,198,10
104.27.1.55,172,211,198,10
172.64.53.228,156,270,198,10
198.41.209.199,157,258,198,10
104.27.5.238,170,221,198,10
104.16.1.114,163,292,199,10
104.16.15.197,152,270,199,10
104.16.40.231,152,280,199,10
162.159.138.118,174,217,199,10
162.159.18.41,135,271,200,10
198.41.208.239,149,296,201,10
104.23.131.218,166,224,202,10
172.64.159.171,155,281,202,10
104.23.116.221,168,211,203,10
104.27.22.65,174,218,203,10
198.41.216.212,147,275,203,10
